HGNC ID	Approved symbol	Status	Previous symbols	Accession numbers	Gene group name	Gene group ID
HGNC:39025	ERVK-18	Approved		FN806828, AF012336		
HGNC:39026	ERVK-19	Approved		U87593, AY395519	Envelope ERV derived genes	1412
HGNC:39031	ERVK-20	Approved		FN806844, DQ112095		
HGNC:39035	ERVK-21	Approved		FN806845, U32496	Envelope ERV derived genes	1412
HGNC:39036	ERVK-22	Approved		FN806846, EF153351		
HGNC:39037	ERVK-23	Approved		FN806847, EF543113		
HGNC:39038	ERVK-24	Approved		FN806848, AU124350		
HGNC:39039	ERVK-25	Approved		FN806843, CF227268, AW818206		
HGNC:44979	ERVK-26	Approved		JZ164910		
HGNC:44980	ERVK-27	Approved		JZ164909		
HGNC:44981	ERVK-28	Approved		JZ164911		
HGNC:44982	ERVK-29	Approved		JZ164912		
HGNC:51378	ERVK-30	Approved		LN624403		
HGNC:51379	ERVK-31	Approved		LN624404		
HGNC:53424	ERVK-32	Approved		AF164615	Envelope ERV derived genes	1412
HGNC:3455	ERVK2	Entry Withdrawn				
HGNC:3456	ERVK3	Entry Withdrawn				
HGNC:30466	ERVK3-1	Approved		AK054868, BC010118, BC011670		
HGNC:39040	ERVK3-2	Approved		AK027828, AK096726, CR591084		
HGNC:39108	ERVK3-3	Approved		FR714893		
HGNC:39109	ERVK3-4	Approved		FR714894		
HGNC:39110	ERVK3-5	Approved		FR714895		
HGNC:39111	ERVK3-6	Approved		FR714896		
HGNC:39112	ERVK3-7	Approved		FR714897		
HGNC:39113	ERVK3-8	Approved		FR714898		
HGNC:50898	ERVK9-1	Approved		LM994684		
HGNC:50908	ERVK9-2	Approved		LM994685		
HGNC:50909	ERVK9-3	Approved		LM994687		
HGNC:50910	ERVK9-4	Approved		LM994688		
HGNC:51154	ERVK9-5	Approved		LM994689		
HGNC:51155	ERVK9-6	Approved		LM994690		
HGNC:51156	ERVK9-7	Approved		LM994691		
HGNC:51157	ERVK9-8	Approved		LM994692		
HGNC:51158	ERVK9-9	Approved		LM994693		
HGNC:51159	ERVK9-10	Approved		LM994694		
HGNC:51160	ERVK9-11	Approved		LM994695		
HGNC:53627	ERVK9-12	Approved		BQ446675		
HGNC:43647	ERVK11-1	Approved		AK126628, AK128832		
HGNC:27548	ERVK13-1	Approved				
HGNC:42970	ERVMER34-1	Approved			Envelope ERV derived genes	1412
HGNC:27919	ERVMER61-1	Approved	C1orf99	BC040856		
HGNC:39042	ERVPABLB-1	Approved		BQ012865, CF529244, AI189490	Envelope ERV derived genes	1412
HGNC:41525	ERVS71-1	Approved		CN288807, BQ932595, BQ941761	Envelope ERV derived genes	1412
HGNC:41526	ERVS71-2	Approved		AB167270, AB167277		
HGNC:3457	ERVT1	Entry Withdrawn	TRV1			
HGNC:3458	ERVT2	Entry Withdrawn	TRV2			
HGNC:3459	ERVT3	Entry Withdrawn	TRV3			
HGNC:3460	ERVT4	Entry Withdrawn	TRV4			
HGNC:3461	ERVT5	Entry Withdrawn	TRV5			
HGNC:26501	ERVV-1	Approved		AK056776, BC104018, BC104019	Envelope ERV derived genes	1412
HGNC:39051	ERVV-2	Approved		AI434519, CA417098, DA863698	Envelope ERV derived genes	1412
HGNC:13525	ERVW-1	Approved	ERVWE1	AF208161	Envelope ERV derived genes	1412
HGNC:37653	ERVW-2	Approved	ERVWE2	AF331500, FN689795		
HGNC:39041	ERVW-3	Approved		AF127227		
HGNC:39043	ERVW-4	Approved		AF123882, EF539878		
HGNC:39044	ERVW-5	Approved		AF123881		
HGNC:39045	ERVW-6	Approved		AK022306, AB063619		
HGNC:49246	ERVW-7	Approved		HG421043		
HGNC:49247	ERVW-8	Approved		HG421044		
HGNC:49248	ERVW-9	Approved		HG421045		
HGNC:49249	ERVW-10	Approved		HG421046		
HGNC:49250	ERVW-11	Approved		HG421047		
HGNC:49251	ERVW-12	Approved		HG421048		
HGNC:49252	ERVW-13	Approved		HG421049		
HGNC:49253	ERVW-14	Approved		HG421050		
HGNC:49254	ERVW-15	Approved		HG421053		
HGNC:49255	ERVW-16	Approved		HG421054		
HGNC:49256	ERVW-17	Approved		HG421036		
HGNC:49306	ERVW-18	Approved		HG421056		
HGNC:49307	ERVW-19	Approved		HG421057		
HGNC:49308	ERVW-20	Approved		HG421059		
HGNC:49309	ERVW-21	Approved		HG421060		
HGNC:49310	ERVW-22	Approved		HG421061		
HGNC:49311	ERVW-23	Approved		HG421062		
HGNC:49312	ERVW-24	Approved		HG421038		
HGNC:49313	ERVW-25	Approved		HG421063		
HGNC:49314	ERVW-26	Approved		HG421039		
HGNC:49315	ERVW-27	Approved		HG421064		
HGNC:49316	ERVW-28	Approved		HG421041		
HGNC:49378	ERVW-29	Approved		HG421066		
HGNC:3462	ESA4	Approved				
HGNC:17474	ESAM	Approved		AK075396	IgCAM CXADR-related subfamily|V-set domain containing	1414|590
HGNC:55558	ESAM-AS1	Approved			Antisense RNAs	1987
HGNC:3463	ESAT	Approved				
HGNC:3464	ESB3	Approved				
HGNC:24645	ESCO1	Approved		AL832041	Lysine acetyltransferases	486
HGNC:27230	ESCO2	Approved	RBS	AF306679	Lysine acetyltransferases	486
HGNC:3465	ESD	Approved		M13450		
HGNC:56902	ESDP1	Approved				
HGNC:15898	ESF1	Approved	C20orf6		SSU processome	1484
HGNC:3466	ESM1	Approved		X89426		
HGNC:16856	ESPL1	Approved		D79987		
HGNC:13281	ESPN	Approved	DFNB36	AF134401	Ankyrin repeat domain containing	403
HGNC:27937	ESPNL	Approved		AK124559	Ankyrin repeat domain containing	403
HGNC:23285	ESPNP	Approved		AL035288		
HGNC:3467	ESR1	Approved	ESR	X03635	Estrogen receptors	2077
HGNC:3468	ESR2	Approved		X99101	Estrogen receptors	2077
HGNC:39079	ESRG	Approved			Long non-coding RNAs with non-systematic symbols	1992
HGNC:3469	ESRL1	Symbol Withdrawn				
HGNC:3470	ESRL2	Symbol Withdrawn				
HGNC:25966	ESRP1	Approved	RBM35A	AK000178	RNA binding motif containing	725
HGNC:26152	ESRP2	Approved	RBM35B	AK025571	RNA binding motif containing|MicroRNA protein coding host genes	725|1691
HGNC:3471	ESRRA	Approved	ESRL1	X51416, L38487	Estrogen related receptors	2078
HGNC:3472	ESRRAP1	Approved	ESRRAP	AL359457		
HGNC:24647	ESRRAP2	Approved		U85258		
HGNC:3473	ESRRB	Approved	ESRL2, DFNB35	X51417	Estrogen related receptors	2078
HGNC:3474	ESRRG	Approved		AF058291	Estrogen related receptors	2078
HGNC:16817	ESS2	Approved	DGCR13, DGCR14	L77566	Spliceosomal P complex	1516
HGNC:3475	ESTF	Symbol Withdrawn				
HGNC:3476	ESX	Symbol Withdrawn				
HGNC:14865	ESX1	Approved	ESX1L	AL049631	PRD class homeoboxes and pseudogenes	521
HGNC:29534	ESYT1	Approved	FAM62A	AK074368	Extended synaptotagmins	827
HGNC:22211	ESYT2	Approved	FAM62B	AB033054	Extended synaptotagmins	827
HGNC:24295	ESYT3	Approved	FAM62C	AJ303366	Extended synaptotagmins	827
HGNC:24648	ETAA1	Approved		AJ242682		
HGNC:53449	ETDA	Approved				
HGNC:44269	ETDB	Approved	LINC00633	AI015085, AY730280		
HGNC:53450	ETDC	Approved				
HGNC:3477	ETF1	Approved	SUP45L1, ERF1, ERF	AF095901	SURF complex	1963
HGNC:3478	ETF1P1	Approved	SUP45L2			
HGNC:3479	ETF1P2	Approved	SUP45L3			
HGNC:3480	ETF1P3	Approved	SUP45L4	AF110131		
HGNC:3481	ETFA	Approved		J04058	Flavoproteins	2258
HGNC:3482	ETFB	Approved		X71129	Flavoproteins	2258
HGNC:28739	ETFBKMT	Approved	C12orf72, METTL20	BC039535	Non-histone lysine methyltransferases|7BS protein lysine methyltransferases	3410|2056
HGNC:3483	ETFDH	Approved		S69232	Flavoproteins	2258
HGNC:27052	ETFRF1	Approved	LYRM5	AK057730	LYR motif containing	635
HGNC:56993	ETFRF1P1	Approved				
HGNC:23287	ETHE1	Approved			MBL domain containing glyoxalase 2 subfamily	1614
HGNC:3484	ETK1	Symbol Withdrawn				
HGNC:3485	ETK2	Symbol Withdrawn				
HGNC:3486	ETM1	Entry Withdrawn				
HGNC:3487	ETM2	Entry Withdrawn				
HGNC:24649	ETNK1	Approved		BC006111	Ethanolamine kinase family	3532
HGNC:55486	ETNK1-DT	Approved			Divergent transcripts	1990
HGNC:25575	ETNK2	Approved		AK001623	Ethanolamine kinase family	3532
HGNC:14404	ETNPPL	Approved	AGXT2L1	AJ298293		
HGNC:3488	ETS1	Approved	EWSR2		ETS transcription factor family	534
HGNC:53932	ETS1-AS1	Approved			Antisense RNAs	1987
HGNC:3489	ETS2	Approved			ETS transcription factor family	534
HGNC:56712	ETS2-AS1	Approved			Antisense RNAs	1987
HGNC:55136	ETS2P1	Approved				
HGNC:3490	ETV1	Approved			ETS transcription factor family	534
HGNC:3491	ETV2	Approved		AF000671	ETS transcription factor family	534
HGNC:3492	ETV3	Approved		BC022868	ETS transcription factor family	534
HGNC:33834	ETV3L	Approved		AK131392	ETS transcription factor family	534
HGNC:3493	ETV4	Approved		U18018	ETS transcription factor family	534
HGNC:3494	ETV5	Approved		BC007333	ETS transcription factor family	534
HGNC:40222	ETV5-AS1	Approved			Antisense RNAs	1987
HGNC:3495	ETV6	Approved		BC043399	ETS transcription factor family	534
HGNC:18160	ETV7	Approved		AF116508	ETS transcription factor family	534
HGNC:40833	ETV7-AS1	Approved			Antisense RNAs	1987
HGNC:40252	EUDAL	Approved			Long non-coding RNAs with non-systematic symbols	1992
HGNC:25816	EVA1A	Approved	TMEM166, FAM176A	BC016157		
HGNC:55283	EVA1A-AS	Approved			Antisense RNAs	1987
HGNC:25558	EVA1B	Approved	C1orf78, FAM176B	AK001509		
HGNC:13239	EVA1C	Approved	C21orf64, C21orf63, FAM176C	AF358258		
HGNC:55735	EVA1CP1	Approved				
HGNC:55736	EVA1CP2	Approved				
HGNC:55737	EVA1CP3	Approved				
HGNC:55738	EVA1CP4	Approved				
HGNC:55739	EVA1CP5	Approved				
HGNC:55740	EVA1CP6	Approved				
HGNC:3497	EVC	Approved		AF216184		
HGNC:19747	EVC2	Approved		AB083067		
HGNC:3499	EVI2A	Approved	EVI2	M55267		
HGNC:3500	EVI2B	Approved			CD molecules	471
HGNC:3501	EVI5	Approved		AF008915		
HGNC:30464	EVI5L	Approved		BC014111		
HGNC:3502	EVI9	Symbol Withdrawn				
HGNC:20234	EVL	Approved		AF112209	ENAH/VASPs|MicroRNA protein coding host genes	946|1691
HGNC:58455	EVL-AS1	Approved			Antisense RNAs	1987
HGNC:3503	EVPL	Approved		U53786	Plakins|Spectrin repeat containing	939|3626
HGNC:35236	EVPLL	Approved			Plakins|Spectrin repeat containing	939|3626
HGNC:3504	EVR1	Symbol Withdrawn				
HGNC:3505	EVR2	Symbol Withdrawn				
HGNC:32785	EVR3	Entry Withdrawn				
HGNC:3506	EVX1	Approved			HOXL subclass homeoboxes	518
HGNC:40223	EVX1-AS	Approved		DB455833, DB260732	Antisense RNAs	1987
HGNC:3507	EVX2	Approved			HOXL subclass homeoboxes	518
HGNC:26596	EWSAT1	Approved	TMEM84, NCRNA00277, LINC00277	AK091087	Long non-coding RNAs with non-systematic symbols	1992
HGNC:3508	EWSR1	Approved			FET protein family|Zinc fingers RANBP2-type|RNA binding motif containing	3416|89|725
HGNC:58372	EWSR1P1	Approved				
HGNC:58373	EWSR1P2	Approved				
HGNC:3509	EWSR2	Symbol Withdrawn				
HGNC:28507	EXD1	Approved	EXDL1	BC030628		
HGNC:20217	EXD2	Approved	C14orf114, EXDL2	AK001600		
HGNC:26023	EXD3	Approved				
HGNC:3510	EXLD1	Symbol Withdrawn				
HGNC:3511	EXO1	Approved		AF042282	Rad2/XPG endonuclease family|Exonucleases	3423|544
HGNC:26115	EXO5	Approved	C1orf176, DEM1	AK024797	Exonucleases	544
HGNC:55647	EXO5-DT	Approved			Divergent transcripts	1990
HGNC:30380	EXOC1	Approved	SEC3L1	AK027047	Exocyst complex	1055
HGNC:58376	EXOC1-AS1	Approved			Antisense RNAs	1987
HGNC:53433	EXOC1L	Approved				
HGNC:58792	EXOC1L-AS1	Approved			Antisense RNAs	1987
HGNC:24968	EXOC2	Approved	SEC5L1	AJ420556	Exocyst complex|IPT domain containing	1055|1752
HGNC:30378	EXOC3	Approved	SEC6L1	BC034427	Exocyst complex	1055
HGNC:25175	EXOC3-AS1	Approved	C5orf55	BC014011	Antisense RNAs	1987
HGNC:27540	EXOC3L1	Approved	EXOC3L	AK092858		
HGNC:30162	EXOC3L2	Approved		AK093466	Armadillo like helical domain containing	1492
HGNC:20120	EXOC3L4	Approved	C14orf73	AK000671		
HGNC:30389	EXOC4	Approved	SEC8L1	AL831989	MicroRNA protein coding host genes|Exocyst complex	1691|1055
HGNC:10696	EXOC5	Approved	SEC10L1	U85946	Exocyst complex	1055
HGNC:43870	EXOC5P1	Approved				
HGNC:23196	EXOC6	Approved	SEC15L1	BC028395	Exocyst complex	1055
HGNC:17085	EXOC6B	Approved	SEC15L2, SEC15B	AB023136	Exocyst complex	1055
HGNC:23214	EXOC7	Approved		BC029432	MicroRNA protein coding host genes|Exocyst complex	1691|1055
HGNC:43871	EXOC7P1	Approved				
HGNC:24659	EXOC8	Approved		AL117352	Exocyst complex|Pleckstrin homology domain containing	1055|682
HGNC:3347	EXOG	Approved	ENDOGL1, ENDOGL2	AB020523		
HGNC:44547	EXOGP1	Approved				
HGNC:17286	EXOSC1	Approved		AF151866	Exosome complex	817
HGNC:17097	EXOSC2	Approved		AK001916	Exosome complex	817
HGNC:17944	EXOSC3	Approved		BC002437	Exosome complex	817
HGNC:33989	EXOSC3P1	Approved				
HGNC:33990	EXOSC3P2	Approved				
HGNC:18189	EXOSC4	Approved		AF281133	Exosome complex|MicroRNA protein coding host genes	817|1691
HGNC:24662	EXOSC5	Approved		AF285785	Exosome complex	817
HGNC:19055	EXOSC6	Approved		BC052252	Exosome complex	817
HGNC:28112	EXOSC7	Approved		BC012831	Exosome complex	817
HGNC:17035	EXOSC8	Approved		AF025438	Exosome complex	817
HGNC:56929	EXOSC8P1	Approved				
HGNC:9137	EXOSC9	Approved	PMSCL1	M58460	Exosome complex	817
HGNC:9138	EXOSC10	Approved	PMSCL2	BC073788	Exosome complex	817
HGNC:40456	EXOSC10-AS1	Approved			Antisense RNAs	1987
HGNC:30578	EXPH5	Approved				
HGNC:3512	EXT1	Approved	LGCR, LGS	S79639	Exostosin glycosyltransferase family	431
HGNC:3513	EXT2	Approved			Exostosin glycosyltransferase family	431
HGNC:3514	EXT3	Entry Withdrawn				
HGNC:3515	EXTL1	Approved		U67191	Exostosin glycosyltransferase family	431
HGNC:3516	EXTL2	Approved		U76189	Exostosin glycosyltransferase family	431
HGNC:3517	EXTL2P1	Approved	EXTL2P			
HGNC:3518	EXTL3	Approved		U76188	Exostosin glycosyltransferase family	431
HGNC:27985	EXTL3-AS1	Approved	C8orf50	BC043205	Antisense RNAs	1987
HGNC:3519	EYA1	Approved	BOR	AJ000098	EYA transcriptional coactivator and phosphatases	1044
HGNC:3520	EYA2	Approved			EYA transcriptional coactivator and phosphatases|MicroRNA protein coding host genes	1044|1691
HGNC:56333	EYA2-AS1	Approved			Antisense RNAs	1987
HGNC:3521	EYA3	Approved		U81602	EYA transcriptional coactivator and phosphatases	1044
HGNC:41332	EYA3-IT1	Entry Withdrawn				
HGNC:3522	EYA4	Approved	DFNA10, CMD1J	Y17114	EYA transcriptional coactivator and phosphatases	1044
HGNC:58230	EYA4-AS2	Approved			Antisense RNAs	1987
HGNC:3523	EYCL1	Entry Withdrawn	GEY			
HGNC:3524	EYCL2	Symbol Withdrawn				
HGNC:3525	EYCL3	Symbol Withdrawn	EYCL2, EYCL3			
HGNC:21555	EYS	Approved	C6orf180, EGFL11, RP25, EGFL10, C6orf178, C6orf179			
HGNC:3526	EZH1	Approved			Histone lysine methyltransferases|Polycomb repressive complex 2|SET domain containing|MicroRNA protein coding host genes|Myb/SANT domain containing	487|1347|1399|1691|532
HGNC:3527	EZH2	Approved			Myb/SANT domain containing|Polycomb repressive complex 2|Histone lysine methyltransferases|SET domain containing	532|1347|487|1399
HGNC:39918	EZH2P1	Approved				
HGNC:33738	EZHIP	Approved	CXorf67	BC046248		
HGNC:12691	EZR	Approved	VIL2	AF187552	FERM domain containing|A-kinase anchoring proteins	1293|396
HGNC:40609	EZR-AS1	Approved		AI831881, BE552153	Antisense RNAs	1987
HGNC:56464	EZRP1	Approved				
HGNC:3535	F2	Approved		M33031	Gla domain containing|Receptor ligands|Complement system regulators and receptors	1250|542|1639
HGNC:3536	F2L	Entry Withdrawn				
HGNC:3537	F2R	Approved		M62424	F2R receptors	219
HGNC:59083	F2R-AS1	Approved			Antisense RNAs	1987
HGNC:3538	F2RL1	Approved	GPR11	BC018130	F2R receptors	219
HGNC:3539	F2RL2	Approved		U92971	F2R receptors	219
HGNC:3540	F2RL3	Approved		AF055917	F2R receptors	219
HGNC:3541	F3	Approved		BC011029	CD molecules	471
HGNC:3542	F5	Approved		M14335	Cupredoxin superfamily|Multicopper oxidase family	3427|3428
HGNC:3543	F5F8D	Symbol Withdrawn				
HGNC:3544	F7	Approved			Gla domain containing	1250
HGNC:3545	F7R	Entry Withdrawn				
HGNC:3546	F8	Approved	F8C	M90707	Multicopper oxidase family|Cupredoxin superfamily	3428|3427
HGNC:3547	F8A1	Approved	F8A	M34677	Proteins encoded by multiple genes	2293
HGNC:31849	F8A2	Approved			Proteins encoded by multiple genes	2293
HGNC:31850	F8A3	Approved			Proteins encoded by multiple genes	2293
HGNC:3548	F8C	Symbol Withdrawn				
HGNC:3549	F8VWF	Symbol Withdrawn				
HGNC:3550	F8VWFP	Symbol Withdrawn				
HGNC:3551	F9	Approved		M11309	Gla domain containing	1250
HGNC:3528	F10	Approved			Gla domain containing	1250
HGNC:40225	F10-AS1	Approved			Antisense RNAs	1987
HGNC:58130	F10-AS2	Approved			Antisense RNAs	1987
HGNC:3529	F11	Approved		M13142		
HGNC:27725	F11-AS1	Approved		BC038717	Antisense RNAs	1987
HGNC:14685	F11R	Approved	JAM1	AF111713	Ig-like cell adhesion molecule family|V-set domain containing|CD molecules	1410|590|471
HGNC:3530	F12	Approved		M31315		
HGNC:3531	F13A1	Approved	F13A	M14539	MicroRNA protein coding host genes|Transglutaminases	1691|773
HGNC:3532	F13A2	Entry Withdrawn				
HGNC:3533	F13A3	Entry Withdrawn				
HGNC:3534	F13B	Approved		M14057	Sushi domain containing	1179
HGNC:3552	FA1	Entry Withdrawn				
HGNC:21197	FA2H	Approved	FAXDC1, SPG35	BC002679	Fatty acid hydroxylase domain containing	552
HGNC:3553	FAAH	Approved		U82535	N-arachidonoylethanolamine hydrolases	3504
HGNC:26440	FAAH2	Approved	AMDD	AK055766	N-arachidonoylethanolamine hydrolases	3504
HGNC:50679	FAAHP1	Approved	LINC00505			
HGNC:26428	FAAP20	Approved	C1orf86	AK126870		
HGNC:28467	FAAP24	Approved	C19orf40	AK128668		
HGNC:26171	FAAP100	Approved	C17orf70	BC008883	FA core complex	1751
HGNC:3555	FABP1	Approved		M10617	Fatty acid binding protein family	550
HGNC:3556	FABP2	Approved		J03465	Fatty acid binding protein family	550
HGNC:3557	FABP3	Approved	MDGI, FABP11	U57623	Fatty acid binding protein family	550
HGNC:3558	FABP3P2	Approved		U72237		
HGNC:3559	FABP4	Approved		J02874	Fatty acid binding protein family	550
HGNC:3560	FABP5	Approved		M94856	Fatty acid binding protein family	550
HGNC:31059	FABP5P1	Approved	FABP5L1			
HGNC:31060	FABP5P2	Approved	FABP5L2			
HGNC:22573	FABP5P3	Approved	FABP5L3			
HGNC:31061	FABP5P4	Approved	FABP5L4			
HGNC:31068	FABP5P5	Approved	FABP5L5			
HGNC:31069	FABP5P6	Approved	FABP5L6			
HGNC:31070	FABP5P7	Approved	FABP5L7			
HGNC:31063	FABP5P8	Approved	FABP5L8			
HGNC:31064	FABP5P9	Approved	FABP5L9			
HGNC:31066	FABP5P10	Approved	FABP5L10			
HGNC:19328	FABP5P11	Approved	FABP5P1, FABP5L11			
HGNC:31067	FABP5P12	Approved	FABP5L12			
HGNC:38717	FABP5P13	Approved	FABP5L13		Pseudoautosomal region 1	715
HGNC:31065	FABP5P14	Approved	FABP5L14			
HGNC:31071	FABP5P15	Approved	FABP5L15			
HGNC:3561	FABP6	Approved		U19869	Fatty acid binding protein family	550
HGNC:40226	FABP6-AS1	Approved			Antisense RNAs	1987
HGNC:3562	FABP7	Approved		D88648	Fatty acid binding protein family	550
HGNC:41951	FABP7P1	Approved				
HGNC:41952	FABP7P2	Approved				
HGNC:3563	FABP9	Approved			Fatty acid binding protein family	550
HGNC:18390	FABP11	Symbol Withdrawn				
HGNC:34524	FABP12	Approved			Fatty acid binding protein family	550
HGNC:45176	FABP12P1	Approved				
HGNC:3564	FACA	Symbol Withdrawn				
HGNC:3565	FACC	Symbol Withdrawn				
HGNC:3566	FACD	Symbol Withdrawn				
HGNC:3567	FACE	Symbol Withdrawn				
HGNC:3568	FACL1	Entry Withdrawn				
HGNC:3572	FACVL1	Symbol Withdrawn				
HGNC:3573	FADD	Approved		U24231	Death effector domain containing|Death inducing signaling complex|Ripoptosome	1019|1342|1340
HGNC:3574	FADS1	Approved	LLCDL1		MicroRNA protein coding host genes|Fatty acid desaturases	1691|553
HGNC:3575	FADS2	Approved	LLCDL2	AF084559	Fatty acid desaturases	553
HGNC:43618	FADS2B	Approved	FADS2P1		Unitary pseudogenes	3418
HGNC:3576	FADS3	Approved	LLCDL3		Fatty acid desaturases	553
HGNC:30459	FADS6	Approved		AK094411	Fatty acid desaturases	553
HGNC:3577	FAEES3	Symbol Withdrawn				
HGNC:3578	FAF1	Approved		AF132938	UBX domain containing	364
HGNC:40228	FAF1-AS1	Approved			Antisense RNAs	1987
HGNC:24666	FAF2	Approved	UBXD8	BC015791	UBX domain containing	364
HGNC:45172	FAF2P1	Approved				
HGNC:3579	FAH	Approved		M55150		
HGNC:14169	FAHD1	Approved	C16orf36	BC063017		
HGNC:24252	FAHD2A	Approved		AF151863		
HGNC:25318	FAHD2B	Approved				
HGNC:44135	FAHD2CP	Approved				
HGNC:32441	FAHD2P1	Approved	FAHD2P	AC083809		
HGNC:18703	FAIM	Approved		AK001444		
HGNC:17067	FAIM2	Approved		AB023167	Transmembrane BAX inhibitor motif containing	1215
HGNC:3580	FAK2	Symbol Withdrawn				
HGNC:43713	FALEC	Approved	LINC00568	AL713297	Long non-coding RNAs with non-systematic symbols	1992
HGNC:13749	FAM3A	Approved		X74610		
HGNC:1253	FAM3B	Approved	C21orf11	AF494379		
HGNC:18664	FAM3C	Approved		D87120		
HGNC:34501	FAM3C2P	Approved	FAM3C2			
HGNC:18665	FAM3D	Approved		AF494381		
HGNC:41276	FAM3D-AS1	Approved		BG215913	Antisense RNAs	1987
HGNC:14199	FAM4A1	Symbol Withdrawn				
HGNC:14020	FAM6A	Symbol Withdrawn	FAM6A			
HGNC:15778	FAM7A4	Entry Withdrawn				
HGNC:15779	FAM7A5	Entry Withdrawn				
HGNC:15780	FAM7B1	Symbol Withdrawn	FAM7B1			
HGNC:16372	FAM8A1	Approved		AF097027		
HGNC:16373	FAM8A2P	Approved		AF315800		
HGNC:16374	FAM8A3P	Approved		AF315797		
HGNC:16375	FAM8A4P	Approved	FAM8A8P	AF315801		
HGNC:16376	FAM8A5P	Approved		AF315798		
HGNC:16377	FAM8A6P	Approved		AF315799		
HGNC:23868	FAM8A7P	Approved				
HGNC:23869	FAM8A8P	Symbol Withdrawn				
HGNC:23870	FAM8A9P	Approved				
HGNC:23871	FAM8A10P	Approved				
HGNC:18403	FAM9A	Approved				
HGNC:18404	FAM9B	Approved				
HGNC:18405	FAM9C	Approved				
HGNC:55923	FAM9CP1	Approved				
HGNC:19367	FAM13A	Approved	FAM13A1	AB020721	Rho GTPase activating proteins	721
HGNC:19370	FAM13A-AS1	Approved	FAM13A1OS, FAM13AOS	AK126217	Antisense RNAs	1987
HGNC:1335	FAM13B	Approved	C5orf5, FAM13B1	AF251038	Rho GTPase activating proteins	721
HGNC:55597	FAM13B-AS1	Approved			Antisense RNAs	1987
HGNC:19371	FAM13C	Approved	FAM13C1	U79304		
HGNC:23015	FAM20A	Approved		AK056789	Golgi associated kinase family	1637
HGNC:23017	FAM20B	Approved		AB007944	Golgi associated kinase family	1637
HGNC:56575	FAM20BP1	Approved				
HGNC:22140	FAM20C	Approved		BC040074	Golgi associated kinase family	1637
HGNC:23417	FAM21B	Symbol Withdrawn				
HGNC:23446	FAM22C	Entry Withdrawn				
HGNC:23474	FAM23B	Symbol Withdrawn				
HGNC:23470	FAM24A	Approved				
HGNC:23475	FAM24B	Approved		BC031343		
HGNC:23436	FAM25A	Approved				
HGNC:23584	FAM25BP	Approved	FAM25B			
HGNC:23586	FAM25C	Approved				
HGNC:23588	FAM25D	Symbol Withdrawn				
HGNC:23587	FAM25EP	Approved	FAM25D, FAM25E			
HGNC:23590	FAM25G	Approved				
HGNC:23591	FAM25HP	Entry Withdrawn	C10orf43			
HGNC:19729	FAM27A	Symbol Withdrawn				
HGNC:50384	FAM27AP1	Entry Withdrawn				
HGNC:23667	FAM27B	Approved			Long non-coding RNAs with FAM root symbol	1993
HGNC:23668	FAM27C	Approved	FAM27A		Long non-coding RNAs with FAM root symbol	1993
HGNC:32015	FAM27D1	Approved			Long non-coding RNAs with FAM root symbol	1993
HGNC:32014	FAM27E1	Symbol Withdrawn				
HGNC:32013	FAM27E2	Approved	FAM27E1		Long non-coding RNAs with FAM root symbol	1993
HGNC:28655	FAM27E3	Approved			Long non-coding RNAs with FAM root symbol	1993
HGNC:44415	FAM27E4	Approved	FAM27E4P		Long non-coding RNAs with FAM root symbol	1993
HGNC:32410	FAM27E5	Approved	FAM27L	BC031617	Long non-coding RNAs with FAM root symbol	1993
HGNC:19955	FAM30A	Approved	C14orf110, KIAA0125	AB019441	Long non-coding RNAs with FAM root symbol	1993
HGNC:31023	FAM30B	Approved	KIAA0125P1	AC021585	Long non-coding RNAs with FAM root symbol	1993
HGNC:31024	FAM30C	Approved	KIAA0125P2	AC021585	Long non-coding RNAs with FAM root symbol	1993
HGNC:24563	FAM32A	Approved		BC000639	Spliceosomal C complex|Spliceosomal P complex	1510|1516
HGNC:30945	FAM32BP	Approved	FAM32B			
HGNC:34239	FAM32CP	Approved	FAM32C			
HGNC:34240	FAM32DP	Approved	FAM32D			
HGNC:34241	FAM32EP	Approved	FAM32E			
HGNC:45005	FAM35EP	Symbol Withdrawn				
HGNC:27589	FAM38B2	Symbol Withdrawn	C18orf30			
HGNC:23955	FAM41AY1	Approved	FAM41AY	BC042981	Long non-coding RNAs with FAM root symbol	1993
HGNC:37135	FAM41AY2	Approved			Long non-coding RNAs with FAM root symbol	1993
HGNC:31688	FAM41BY	Entry Withdrawn				
HGNC:27635	FAM41C	Approved		BC047940	Long non-coding RNAs with FAM root symbol	1993
HGNC:26888	FAM43A	Approved		AK074503		
HGNC:31791	FAM43B	Approved		AK126900		
HGNC:29962	FAM47A	Approved		BC026171		
HGNC:26659	FAM47B	Approved		BC035026		
HGNC:25301	FAM47C	Approved		AK125992		
HGNC:34342	FAM47DP	Approved		AL627244		
HGNC:34343	FAM47E	Approved		AC034139, AK124936, CR591456, CR627383		
HGNC:44667	FAM47E-STBD1	Approved				
HGNC:18786	FAM50A	Approved		BC000028	Spliceosomal C complex|Spliceosomal P complex|MicroRNA protein coding host genes	1510|1516|1691
HGNC:18789	FAM50B	Approved		Y18504		
HGNC:31860	FAM53A	Approved		BC070112		
HGNC:28968	FAM53B	Approved	KIAA0140	D50930		
HGNC:49499	FAM53B-AS1	Approved		BI457689, AA620732, AI470835	Antisense RNAs	1987
